Address;Price;Beds;Baths;Sizes
2015 Raymond Ave, Los Angeles, CA 90007;$3,245,000;12;12;7,982sqft
3266 Lowry Rd, Los Angeles, CA 90027;$4,350,000;4;4;2,915sqft
10365 Rossbury Pl, Los Angeles, CA 90064;$2,995,000;4;3.5;2,900sqft
23133 Oxnard St, Woodland Hills, CA 91367;$2,395,000;3;2;1,714sqft
10260 Tujunga Canyon Blvd, Tujunga, CA 91042;$1,890,000;4;4;2,160sqft
5904 Annan Way, Los Angeles, CA 90042;$1,299,999;3;2;1,482sqft
6061 Franklin Ave, Los Angeles, CA 90028;$4,150,000;12;12;5,306sqft
1219 W 25th St, Los Angeles, CA 90007;$3,050,000;12;10;4,246sqft
3109 S Canfield Ave, Los Angeles, CA 90034;$3,950,000;14;13;7,157sqft
525 N Normandie Ave, Los Angeles, CA 90004;$5,200,000;18;18;10,420sqft
18044 Sandy Cape Dr, Pacific Palisades, CA 90272;$6,699,999;3;3;4,575sqft
8944 Crescent Dr, Los Angeles, CA 90046;$2,199,000;2;3;2,114sqft
3956 East Blvd, Los Angeles, CA 90066;$3,999,000;6;5;4,509sqft
932 S Gramercy Dr, Los Angeles, CA 90019;$1,850,000;2;2;2,040sqft
3960 Inglewood Blvd, Los Angeles, CA 90066;$4,650,000;20;20;8,899sqft
729 S Hobart Blvd Apt 3, Los Angeles, CA 90005;$539,000;2;1;965sqft
123 W 50th St, Los Angeles, CA 90037;$520,000;2;1;1,144sqft
3601 Monterey Rd, Los Angeles, CA 90032;$425,000;1;1;516sqft
655 S Hope St Unit 606, Los Angeles, CA 90017;$418,000;1;1;605sqft
1200 S Kingsley Dr, Los Angeles, CA 90006;$685,000;2;2;1,216sqft
527 Molino St Unit 206, Los Angeles, CA 90013;$675,000;1;1;1,030sqft
725 S Woods Ave, East Los Angeles, CA 90022;$705,000;5;3;1,652sqft
2226 Michigan Ave, Los Angeles, CA 90033;$1,500,000;11;4;4,231sqft
3834 S Harvard Blvd, Los Angeles, CA 90062;$975,000;3;1;1,182sqft
8601 Santa Susana Pl, West Hills, CA 91304;$959,000;5;2;1,694sqft
889 Francisco St Unit 3202, Los Angeles, CA 90017;$705,000;1;1;730sqft
422 James St, Los Angeles, CA 90065;$899,000;2;2;841sqft
24543 Stonegate Dr, West Hills, CA 91304;$1,550,000;4;3;2,347sqft
3911 Mandeville Canyon Rd, Los Angeles, CA 90049;$2,250,000;3;2;2,037sqft
5408 Morella Ave, Valley Village, CA 91607;$1,525,000;3;2.5;2,631sqft
1801 S Berendo St, Los Angeles, CA 90006;$875,000;4;2;1,653sqft
1100 S Hope St Apt 1306, Los Angeles, CA 90015;$795,000;1;1;990sqft
8479 Canterbury Ave, Sun Valley, CA 91352;$789,000;3;2;1,258sqft
7740 Redlands St Unit G3085, Playa Del Rey, CA 90293;$689,000;2;2;1,048sqft
8501 Canterbury Ave, Sun Valley, CA 91352;$799,000;3;2;1,258sqft
4656 Vantage Ave, Valley Village, CA 91607;$1,549,000;4;3.5;2,426sqft
443 W 49th St, Los Angeles, CA 90037;$1,350,000;14;9;4,275sqft
18747 Schoenborn St, Northridge, CA 91324;$899,000;3;2;2,075sqft
2024 W 65th St, Los Angeles, CA 90047;$699,900;2;1;984sqft
5728 Winnetka Ave, Woodland Hills, CA 91367;$1,025,000;2;2;1,648sqft
6521 Balcom Ave, Reseda, CA 91335;$885,000;3;2;1,484sqft
20110 Kinzie St, Chatsworth, CA 91311;$859,000;3;2;1,368sqft
4453 Gentry Ave, Studio City, CA 91607;$2,749,000;4;4;3,489sqft
1730 Sawtelle Blvd Apt 210, Los Angeles, CA 90025;$799,000;2;2;840sqft
1215 Brockton Ave Apt 203, Los Angeles, CA 90025;$949,000;2;2;1,581sqft
17454 Hatteras St, Encino, CA 91316;$849,000;3;2;1,236sqft
17031 Countess Pl, Encino, CA 91436;$5,450,000;5;5.5;6,530sqft
4781 Poe Ave, Woodland Hills, CA 91364;$2,199,000;4;3.5;2,357sqft
1212 S Hudson Ave, Los Angeles, CA 90019;$1,500,000;5;3;2,142sqft
141 S Clark Dr Apt 207, West Hollywood, CA 90048;$636,000;1;1;640sqft
4328 Allott Ave, Sherman Oaks, CA 91423;$1,499,000;3;3;1,752sqft
5920 Jellico Ave, Encino, CA 91316;$1,250,000;3;2;1,640sqft
1355 W 1st St, San Pedro, CA 90732;$815,000;3;2;1,326sqft
11688 Erwin St, North Hollywood, CA 91606;$999,500;4;2;1,204sqft
1351 E 46th St, Los Angeles, CA 90011;$850,000;6;3;2,160sqft
35 Dudley Ave, Venice, CA 90291;$3,195,000;6;4;2,160sqft
8471 Topanga Canyon Blvd, West Hills, CA 91304;$700,000;3;2;1,144sqft
8724 Ruthelen St, Los Angeles, CA 90047;$815,000;4;3;1,793sqft
